playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,start_sector,end_sector,playerName
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,372,67,537.32,504.32,Label53,24.67,10,9,A. Meier
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1203,1277,504.32,480.32,Label90,6.29,12,12,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1203,1277,504.32,480.32,Label90,6.29,12,12,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1203,1277,504.32,480.32,Label90,6.29,12,12,S. Aigner
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,116,60,462.32,473.32,Label56,4.59,9,9,A. Meier
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,116,60,462.32,473.32,Label56,4.59,9,9,A. Meier
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,966,1278,460.32,359.32,Label57,26.52,11,8,M. Fabian
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,966,1278,460.32,359.32,Label57,26.52,11,8,M. Fabian
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,966,1278,460.32,359.32,Label57,26.52,11,8,M. Fabian
1790,RCB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1223,1288,361.32,389.32,Label65,5.74,8,8,M. Russ
1790,RCB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1223,1288,361.32,389.32,Label65,5.74,8,8,M. Russ
1790,RCB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,1223,1288,361.32,389.32,Label65,5.74,8,8,M. Russ
1790,RCB,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1223,1288,361.32,389.32,Label65,5.74,8,8,M. Russ
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1054,1285,236.32,347.32,Label68,20.85,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1054,1285,236.32,347.32,Label68,20.85,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,1054,1285,236.32,347.32,Label68,20.85,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,1054,1285,236.32,347.32,Label68,20.85,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,1054,1285,236.32,347.32,Label68,20.85,8,8,B. Oczipka
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,270,79,447.32,485.32,Label57,15.69,5,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,270,79,447.32,485.32,Label57,15.69,5,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,270,79,447.32,485.32,Label57,15.69,5,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,270,79,447.32,485.32,Label57,15.69,5,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,184,65,275.32,332.32,Label51,10.73,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,184,65,275.32,332.32,Label51,10.73,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,184,65,275.32,332.32,Label51,10.73,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,184,65,275.32,332.32,Label51,10.73,5,5,S. Aigner
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,344,60,610.32,491.32,Label57,24.99,9,9,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,344,60,610.32,491.32,Label57,24.99,9,9,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,344,60,610.32,491.32,Label57,24.99,9,9,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,344,60,610.32,491.32,Label57,24.99,9,9,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1035,1273,350.32,475.32,Label93,21.92,7,12,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,1035,1273,350.32,475.32,Label93,21.92,7,12,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,1035,1273,350.32,475.32,Label93,21.92,7,12,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1035,1273,350.32,475.32,Label93,21.92,7,12,M. Hasebe
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1132,1284,542.32,343.32,Label53,20.97,12,8,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1132,1284,542.32,343.32,Label53,20.97,12,8,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,1132,1284,542.32,343.32,Label53,20.97,12,8,S. Aigner
1790,RCM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1173,1280,459.32,471.32,Label93,8.65,12,12,M. Russ
1790,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1173,1280,459.32,471.32,Label93,8.65,12,12,M. Russ
1790,RCM,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,1173,1280,459.32,471.32,Label93,8.65,12,12,M. Russ
1790,CM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,149,65,400.32,554.32,Label60,14.82,5,9,M. Russ
1790,CM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,149,65,400.32,554.32,Label60,14.82,5,9,M. Russ
1770,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1230,1288,273.32,294.32,Label68,4.99,8,8,S. Huszti
1770,LCM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1230,1288,273.32,294.32,Label68,4.99,8,8,S. Huszti
1770,LCM,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,1230,1288,273.32,294.32,Label68,4.99,8,8,S. Huszti
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1192,1201,511.32,390.32,Label63,10.39,12,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1192,1201,511.32,390.32,Label63,10.39,12,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1151,1284,540.32,405.32,Label65,15.75,12,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1151,1284,540.32,405.32,Label65,15.75,12,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,1151,1284,540.32,405.32,Label65,15.75,12,8,H. Seferovic
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,911,1273,400.32,442.32,Label65,29.31,7,8,M. Fabian
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,911,1273,400.32,442.32,Label65,29.31,7,8,M. Fabian
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,911,1273,400.32,442.32,Label65,29.31,7,8,M. Fabian
1790,RDM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,837,1278,374.32,485.32,Label97,36.69,7,12,M. Russ
1790,RDM,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,837,1278,374.32,485.32,Label97,36.69,7,12,M. Russ
1790,RDM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,837,1278,374.32,485.32,Label97,36.69,7,12,M. Russ
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1116,1275,301.32,482.32,Label93,20.09,8,12,M. Stendera
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1116,1275,301.32,482.32,Label93,20.09,8,12,M. Stendera
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,1116,1275,301.32,482.32,Label93,20.09,8,12,M. Stendera
