ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,playerPositionID,targetPositionID,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6257241,6258,471.33,473.13,371,248,372,77888,IZGUBLJENA LOPTA,NETOCNO DODAVANJE,IZGUBLJENA U POSJEDU,38433,ST,RCM,3,away,933,942,383.32,377.32,,0.88,0,0.0,471.33,472.79,FirstHalf,11,16,left,1.8,1.46,7,7,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257251,6258,475.78,477.83,247,0,0,196633,TOCNO DODAVANJE,0,0,196661,LB,LW,3,away,941,1096,251.32,115.32,,17.05,0,0.0,475.78,476.57,FirstHalf,2,20,left,2.05,0.79,7,4,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257252,6258,477.83,479.73,248,0,0,196661,NETOCNO DODAVANJE,0,0,201366,LW,RCB,2,away,1096,1156,141.32,367.32,,19.96,0,0.0,477.83,479.4,FirstHalf,20,14,left,1.9,1.57,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257253,6258,477.83,479.73,4,248,106,196661,CENTARSUT,NETOCNO DODAVANJE,LOS,201366,LW,RCB,2,away,1097,1156,145.32,364.32,,19.36,0,0.0,477.83,479.73,FirstHalf,20,14,left,1.9,1.9,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257254,6258,477.83,479.73,15,248,248,196661,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,201366,LW,RCB,2,away,1096,1156,141.32,367.32,,19.96,0,0.0,477.83,479.4,FirstHalf,20,14,left,1.9,1.57,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257262,6258,481.31,483.95,248,0,0,199745,NETOCNO DODAVANJE,0,0,38433,RCM,RCM,5,away,968,986,302.32,294.32,,1.6,0,0.0,481.31,484.71,FirstHalf,16,16,left,2.64,3.4,7,7,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257263,6258,481.31,483.95,371,248,374,199745,IZGUBLJENA LOPTA,NETOCNO DODAVANJE,IZGUBLJENA U DRIBLINGU,38433,RCM,RCM,5,away,968,986,302.32,294.32,,1.6,0,0.0,481.31,484.71,FirstHalf,16,16,left,2.64,3.4,7,7,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257284,6258,514.54,518.89,247,0,0,44079,TOCNO DODAVANJE,0,0,196661,LCM,LW,6,away,903,971,160.32,169.32,,5.51,0,0.0,514.54,518.57,FirstHalf,15,20,left,4.35,4.03,3,3,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257290,6258,518.89,523.53,248,0,0,196661,NETOCNO DODAVANJE,0,0,38433,LW,RCM,6,away,1208,1128,173.32,390.32,,19.67,0,0.0,518.89,523.02,FirstHalf,20,16,left,4.64,4.13,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257293,6258,518.89,523.53,343,248,345,196661,PROBOJI,NETOCNO DODAVANJE,PROBOJ POVRATNA,38433,LW,RCM,6,away,971,1209,108.32,171.32,,19.87,0,0.0,518.89,523.53,FirstHalf,20,16,left,4.64,4.64,3,4,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257294,6258,518.89,523.53,6,248,195,196661,DRIBLING,NETOCNO DODAVANJE,U PROSTORU,38433,LW,RCM,6,away,1208,1128,173.32,390.32,,19.67,0,0.0,518.89,523.02,FirstHalf,20,16,left,4.64,4.13,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257311,6258,526.63,529.11,247,0,0,196661,TOCNO DODAVANJE,0,0,1802,LW,CAM,2,away,1209,1228,84.32,364.32,,24.04,0,0.0,526.63,528.72,FirstHalf,20,9,left,2.48,2.09,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257315,6258,526.63,529.11,4,247,119,196661,CENTARSUT,TOCNO DODAVANJE,ODLICAN,1802,LW,CAM,2,away,1208,1227,82.32,361.32,,23.96,0,0.0,526.63,529.11,FirstHalf,20,9,left,2.48,2.48,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257316,6258,526.63,529.11,15,247,247,196661,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,1802,LW,CAM,2,away,1209,1228,84.32,364.32,,24.04,0,0.0,526.63,528.72,FirstHalf,20,9,left,2.48,2.09,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257317,6258,526.63,529.11,2,0,4,196661,POKUSAJI ASISTENCIJE,0,CENTARSUT,1802,LW,CAM,2,away,1209,1228,84.32,364.32,6257311,24.04,0,0.0,526.63,528.72,FirstHalf,20,9,left,2.48,2.09,4,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257319,6258,529.11,529.67,248,0,0,1802,NETOCNO DODAVANJE,0,0,201366,CAM,RCB,1,away,1230,1236,372.32,375.32,,0.54,0,0.0,529.11,529.37,FirstHalf,9,14,left,0.56,0.26,8,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257320,6258,529.11,529.67,30,248,101,1802,UDARAC,NETOCNO DODAVANJE,LIJEVA NOGA,201366,CAM,RCB,1,away,1230,1236,372.32,375.32,,0.54,0,0.0,529.11,529.37,FirstHalf,9,14,left,0.56,0.26,8,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257324,6258,529.11,529.67,30,248,140,1802,UDARAC,NETOCNO DODAVANJE,PO ZRAKU,201366,CAM,RCB,1,away,1230,1236,372.32,375.32,,0.54,0,0.0,529.11,529.37,FirstHalf,9,14,left,0.56,0.26,8,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257327,6258,529.11,529.67,30,248,198,1802,UDARAC,NETOCNO DODAVANJE,UDARAC U BLOK,201366,CAM,RCB,1,away,1230,1236,372.32,375.32,,0.54,0,0.0,529.11,529.37,FirstHalf,9,14,left,0.56,0.26,8,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257329,6258,529.11,529.67,211,248,248,1802,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,201366,CAM,RCB,1,away,1230,1236,372.32,375.32,,0.54,0,0.0,529.11,529.37,FirstHalf,9,14,left,0.56,0.26,8,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257345,6258,535.47,537.25,247,0,0,196633,TOCNO DODAVANJE,0,0,44079,LB,LCM,1,away,969,951,35.32,209.32,,14.98,0,0.0,535.47,536.59,FirstHalf,2,15,left,1.78,1.12,3,3,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257346,6258,535.47,537.25,211,247,247,196633,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,44079,LB,LCM,1,away,969,951,35.32,209.32,,14.98,0,0.0,535.47,536.59,FirstHalf,2,15,left,1.78,1.12,3,3,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257347,6258,537.25,539.04,247,0,0,44079,TOCNO DODAVANJE,0,0,196633,LCM,LB,3,away,972,922,135.32,78.32,,6.32,0,0.0,537.25,538.46,FirstHalf,15,2,left,1.79,1.21,3,3,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257411,6258,585.21,587.1,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,2,away,612,693,535.32,235.32,,26.52,0,0.0,585.21,586.13,FirstHalf,13,2,left,1.89,0.92,10,6,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257482,6258,619.99,621.49,31,0,0,1802,UDARAC U OKVIR,0,0,0,CAM,0,2,away,1057,1273,512.32,401.32,Label31,19.79,0,0.0,619.99,621.1,FirstHalf,9,0,left,1.5,1.11,12,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257483,6258,619.99,621.49,30,31,56,1802,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,CAM,0,2,away,1057,1273,512.32,401.32,Label31,19.79,0,0.0,619.99,621.1,FirstHalf,9,0,left,1.5,1.11,12,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257484,6258,619.99,621.49,30,31,119,1802,UDARAC,UDARAC U OKVIR,ODLICAN,0,CAM,0,2,away,1057,1273,512.32,401.32,Label31,19.79,0,0.0,619.99,621.1,FirstHalf,9,0,left,1.5,1.11,12,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257486,6258,619.99,621.49,30,31,140,1802,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,CAM,0,2,away,1057,1273,512.32,401.32,Label31,19.79,0,0.0,619.99,621.1,FirstHalf,9,0,left,1.5,1.11,12,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257530,6258,625.91,625.91,10,22,210,77888,KARTONI,PREKID IGRE,ZUTI,77888,ST,ST,0,away,1079,1042,127.32,270.32,,12.61,1042,270.32,625.91,625.91,FirstHalf,11,11,left,0.0,0.0,4,7,7,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257573,6258,695.13,696.26,248,0,0,196633,NETOCNO DODAVANJE,0,0,79430,LB,RB,1,away,785,921,61.32,76.32,,11.0,0,0.0,695.13,695.55,FirstHalf,2,4,left,1.13,0.42,3,3,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257649,6258,768.26,768.49,247,0,0,1802,TOCNO DODAVANJE,0,0,77888,CAM,ST,1,away,1113,1156,425.32,348.32,,7.44,0,0.0,768.26,768.43,FirstHalf,9,11,left,0.23,0.17,8,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
