idAkcije,naziv
119,ODLICAN
120,OSTALI PREKIDI
121,PARABOLA
123,PIROTEHNIKA
124,PLASIRANA LOPTA
125,PLASIRANI
139,PO ZEMLJI
140,PO ZRAKU
142,PODVALJENA LOPTA
143,POGODEN ZIVI ZID
147,POTKOPANA LOPTA NETOCNA
148,POTKOPANA LOPTA TOCNA
149,POTKOPANA/LOB
151,POVRATNA
152,POVRATNA LOPTA
153,PRESJECEN CENTARSUT
154,PRESJECENA LOPTA
155,PRILIKA GRESKOM OBRANE
156,PRIMLJEN GOL
157,PRIMLJEN PREKRSAJ
158,PROMASEN
159,PROMASENA 100% PRILIKA
160,PROMASENA PRILIKA GLAVOM
163,RUKOM DIJAGONALNO
164,SA BLOK UDARCEM
165,SA BOKA PO ZEMLJI
166,SA ZAVRSETAK GOLOM
167,SA ZAVRSNIM UDARCEM
168,SKORO GOL
171,SLOBODAN UDARAC DODAVANJE
178,SURADNJA 2 IGRACA
180,SVADA SA SUCEM
190,U DRIBLINGU
191,U DUELU
192,U MJESTU
194,U PRIMANJU
195,U PROSTORU
197,UDARAC NA GOL
198,UDARAC U BLOK
199,UHVACEN
201,VELIKO ZALEDE
202,VOLEJ
203,VRACANJE GOLMANU
207,ZA PREKRSAJ
209,ZONA
210,ZUTI
211,NIJE IZGUBLJENA
212,ZAMJENA
213,POVRATNA LOPTA GOLMANU
214,NAZAD GOLMANU GLAVOM
215,UDARAC U STATIVU
216,UDARAC U PRECKU
218,SKOK GLAVOM
220,NAPAMET ISPUCAVANJE
232,OUT
243,IZVODENJE OUT
245,IZVODENJE GOL OUT
247,TOCNO DODAVANJE
248,NETOCNO DODAVANJE
250,IZGUBLJEN OUT
252,IZGUBLJEN GOL OUT
260,IZVODENJE KORNERA
261,IZVODENJE SLOBODNOG UDARCA
262,UDARAC IZVAN OKVIRA
265,LOSE IZVEDEN
266,POKUSAJ ASISTENCIJE
267,LOPTA S OCIMA
268,OPASNA IGRA
269,GRUBI START
270,KLIZECI ISHOD OUT
271,KLIZECI ISHOD KORNER
274,OBRANA RUKOM
275,UHVACENA LOPTA
276,ATRAKTIVNA OBRANA
277,SUDAC LOSA PROCJENA
285,DUPLI PAS
286,LOPTA IZMEDU IGRACA ZADNJE LINIJE
287,LOS ZADNJI PAS
291,DODAVANJA VANJSKOM
295,DRIBLING KROZ NOGE
296,GOL KROZ NOGE
298,UDARAC SPICOM
301,OTKLONJENA OPASNOST
302,PREKINUTI KONTRA NAPAD
303,BLOKIRAN CENTARSUT
304,SPASEN GOL
305,INDIREKT
306,RUKA NEMA NAMJERE
307,RUKA S NAMJEROM
312,BRZI ISPRAVAK POGRESKE
320,GRESKA PRIJE GOLA
321,SLAB SKOK
322,IZGURAN U SKOKU
323,NE ZATVOREN LIJEVI BOK
324,NE ZATVOREN DESNI BOK
325,NE ZATVORENA SREDINA
326,LOSE POSTAVLJENO ZALEDE
327,LOSE POSTAVLJANJE
328,NESPORAZUM OBRANA
329,NESPORAZUM SA GOLMANOM
330,JEDAN NA JEDAN ISPAO NAIVNO
336,KRIVA PROCJENA
337,NEULAZAK U BLOK
338,NEKVALITETAN BLOK
339,IZRAVAN UDARAC NA GOL
340,DOBIVEN DUEL
341,DOBIVEN DUEL - U ZRAKU
342,ASISTENCIJA PRIJE GOLA
343,PROBOJI
344,PROBOJ CENTARSUT
345,PROBOJ POVRATNA
346,PROBOJ UDARAC
347,PROBOJ ASISTENCIJA
352,POCETAK GRESKE PRIJE GOLA
353,KRAJ GRESKE PRIJE GOLA
354,POCETAK KONTRA NAPADA 1
355,KRAJ KONTRA NAPADA 1
359,UKAZIVANJE POMOCI
362,SKRIVLJEN JEDANAESTERAC
363,PROMJENA STRANE
365,LOPTA U PROSTOR
367,PREDASISTENCIJA
368,KLIZECI START DOBRO PREDAO
369,KLIZECI START KRIVO PREDAO
370,ONCE NETOCNA
371,IZGUBLJENA LOPTA
372,IZGUBLJENA U POSJEDU
373,IZGUBLJENA U PRIMANJU
374,IZGUBLJENA U DRIBLINGU
375,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN
376,IZGUBLJEN NA LINIJU
377,IZGUBLJEN OD LINIJE
378,IZGUBLJEN U ZADNJOJ LINIJI
