ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,playerPositionID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionID,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6258136,6261,305.14,306.51,261,247,171,206309,14,RCB,IZVODENJE SLOBODNOG UDARCA,TOCNO DODAVANJE,SLOBODAN UDARAC DODAVANJE,16087,4,RB,2,home,481,501,561.32,748.32,,16.1,0,0.0,305.14,305.42,FirstHalf,right,1.37,0.28,10,14,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258143,6261,306.51,311.39,247,0,0,16087,4,RB,TOCNO DODAVANJE,0,0,206309,14,RCB,5,home,494,347,748.32,691.32,,12.78,0,0.0,306.51,310.36,FirstHalf,right,4.88,3.85,14,13,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258149,6261,311.39,313.33,248,0,0,206309,14,RCB,NETOCNO DODAVANJE,0,0,96310,20,LW,2,home,357,547,679.32,661.32,,15.34,0,0.0,311.39,312.64,FirstHalf,right,1.94,1.25,14,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258154,6261,315.62,317.64,247,0,0,206309,14,RCB,TOCNO DODAVANJE,0,0,39479,17,LCF,2,home,448,568,570.32,442.32,,14.6,0,0.0,315.62,316.44,FirstHalf,right,2.02,0.82,10,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258363,6261,364.22,365.48,232,0,250,16087,4,RB,OUT,0,IZGUBLJEN OUT,0,0,0,1,home,200,250,752.32,803.32,,5.93,0,0.0,364.22,365.48,FirstHalf,right,1.26,1.26,13,13,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258488,6261,460.93,462.44,247,0,0,11341,1,GK,TOCNO DODAVANJE,0,0,206309,14,RCB,1,home,120,174,459.32,700.32,,21.1,0,0.0,460.93,461.12,FirstHalf,right,1.51,0.19,9,13,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258494,6261,466.05,469.56,247,0,0,11341,1,GK,TOCNO DODAVANJE,0,0,16087,4,RB,2,home,84,487,556.32,715.32,,35.13,0,0.0,466.04,467.04,FirstHalf,right,3.51,1.0,9,14,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258495,6261,466.05,469.56,15,247,247,11341,1,GK,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,16087,4,RB,2,home,84,487,556.32,715.32,,35.13,0,0.0,466.04,467.04,FirstHalf,right,3.51,1.0,9,14,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258502,6261,469.56,470.52,248,0,0,16087,4,RB,NETOCNO DODAVANJE,0,0,54689,13,LCB,1,home,485,561,713.32,720.32,,6.13,0,0.0,469.55,469.68,FirstHalf,right,0.96,0.13,14,14,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258505,6261,469.56,470.52,19,248,72,16087,4,RB,OSTALA DODAVANJA,NETOCNO DODAVANJE,GLAVOM,54689,13,LCB,1,home,485,561,713.32,720.32,,6.13,0,0.0,469.55,469.68,FirstHalf,right,0.96,0.13,14,14,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
