,actionPosX1,actionPosX2,actionPosY1,actionPosY2
725,457.0,363.0,800.32,644.32
726,181.0,88.0,796.32,707.32
727,832.0,402.0,682.32,684.32
728,1020.0,917.0,755.32,569.32
729,712.0,830.0,647.32,492.32
730,752.0,586.0,663.32,775.32
731,512.0,520.0,730.32,635.32
732,650.0,879.0,733.32,698.32
733,932.0,831.0,783.32,713.32
734,1079.0,1097.0,765.32,584.32
735,1009.0,924.0,718.32,576.32
736,946.0,894.0,677.32,768.32
737,667.0,704.0,547.32,443.32
738,699.0,792.0,768.32,624.32
739,1000.0,910.0,762.32,615.32
740,801.0,789.0,820.32,724.32
741,761.0,876.0,671.32,439.32
742,648.0,563.0,615.32,733.32
743,1186.0,1177.0,372.32,250.32
744,705.0,603.0,705.32,774.32
745,889.0,919.0,650.32,606.32
746,884.0,1065.0,690.32,634.32
747,194.0,170.0,794.32,733.32
748,253.0,515.0,780.32,712.32
749,494.0,571.0,752.32,770.32
750,689.0,597.0,654.32,522.32
751,703.0,502.0,618.32,720.32
752,735.0,908.0,691.32,573.32
753,569.0,635.0,750.32,731.32
754,1075.0,1075.0,468.32,444.32
755,850.0,934.0,693.32,587.32
756,699.0,780.0,759.32,708.32
757,911.0,875.0,561.32,492.32
758,446.0,368.0,797.32,595.32
759,481.0,392.0,810.32,764.32
760,492.0,362.0,785.32,781.32
761,452.0,571.0,685.32,523.32
762,615.0,558.0,749.32,669.32
763,604.0,509.0,742.32,786.32
764,465.0,497.0,747.32,575.32
765,1056.0,1072.0,578.32,519.32
766,1087.0,1087.0,610.32,555.32
767,1129.0,697.0,761.32,651.32
768,542.0,488.0,737.32,642.32
769,497.0,699.0,675.32,676.32
770,744.0,892.0,778.32,709.32
771,493.0,796.0,502.32,608.32
772,1134.0,1102.0,801.32,725.32
773,919.0,852.0,726.32,639.32
774,410.0,251.0,735.32,359.32
775,1230.0,1103.0,377.32,224.32
776,759.0,566.0,676.32,586.32
777,1194.0,1195.0,539.32,674.32
778,591.0,620.0,727.32,623.32
779,463.0,534.0,751.32,730.32
780,1116.0,807.0,361.32,188.32
781,535.0,302.0,659.32,233.32
782,399.0,449.0,726.32,634.32
