playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,goalZone,distance,start_sector,end_sector,playerName
1790,RCB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label65,5.74,8,8,M. Russ
1790,RCB,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label65,5.74,8,8,M. Russ
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label68,20.85,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label68,20.85,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label68,20.85,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label68,20.85,8,8,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label68,20.85,8,8,B. Oczipka
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label57,15.69,5,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label57,15.69,5,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label57,15.69,5,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label57,15.69,5,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label51,10.73,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label51,10.73,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label51,10.73,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label51,10.73,5,5,S. Aigner
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label57,24.99,9,9,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label57,24.99,9,9,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,Label57,24.99,9,9,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label57,24.99,9,9,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label93,21.92,7,12,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label93,21.92,7,12,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,Label93,21.92,7,12,M. Hasebe
5335,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label93,21.92,7,12,M. Hasebe
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label53,20.97,12,8,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label53,20.97,12,8,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label53,20.97,12,8,S. Aigner
1790,RCM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label93,8.65,12,12,M. Russ
1790,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label93,8.65,12,12,M. Russ
1790,RCM,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,Label93,8.65,12,12,M. Russ
1790,CM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label60,14.82,5,9,M. Russ
1790,CM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label60,14.82,5,9,M. Russ
1770,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label68,4.99,8,8,S. Huszti
1770,LCM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label68,4.99,8,8,S. Huszti
1770,LCM,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label68,4.99,8,8,S. Huszti
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label63,10.39,12,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label63,10.39,12,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label65,15.75,12,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label65,15.75,12,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label65,15.75,12,8,H. Seferovic
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label65,29.31,7,8,M. Fabian
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label65,29.31,7,8,M. Fabian
22870,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label65,29.31,7,8,M. Fabian
1790,RDM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label97,36.69,7,12,M. Russ
1790,RDM,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label97,36.69,7,12,M. Russ
1790,RDM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label97,36.69,7,12,M. Russ
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label93,20.09,8,12,M. Stendera
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label93,20.09,8,12,M. Stendera
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label93,20.09,8,12,M. Stendera
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label67,27.16,7,12,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label67,27.16,7,12,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label67,27.16,7,12,B. Oczipka
143853,LW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label57,8.07,5,9,S. Kittel
143853,LW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label57,8.07,5,9,S. Kittel
143853,LW,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label57,8.07,5,9,S. Kittel
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label67,30.29,9,5,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label67,30.29,9,5,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label67,30.29,9,5,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label67,30.29,9,5,M. Fabian
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label53,21.79,9,9,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label53,21.79,9,9,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label53,21.79,9,9,H. Seferovic
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label50,46.64,9,1,M. Stendera
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label50,46.64,9,1,M. Stendera
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label50,46.64,9,1,M. Stendera
206101,LCM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label93,11.13,8,12,G. Waldschmidt
206101,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label93,11.13,8,12,G. Waldschmidt
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label98,13.6,12,12,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label98,13.6,12,12,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label98,13.6,12,12,H. Seferovic
39442,RCB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label65,5.19,8,8,C. Zambrano
39442,RCB,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label65,5.19,8,8,C. Zambrano
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label97,11.06,8,12,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label97,11.06,8,12,H. Seferovic
206101,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label65,9.82,12,8,G. Waldschmidt
206101,LCM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label65,9.82,12,8,G. Waldschmidt
206101,LCM,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label65,9.82,12,8,G. Waldschmidt
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label57,23.36,7,8,M. Fabian
