playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,distance,poss_duration,start_sector,end_sector,playerName,targetName
21022,LCB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,6.33,0.23,5,5,L. Abraham,
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,29.22,0.2,5,9,M. Stendera,
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,29.22,0.2,5,9,M. Stendera,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,7.38,0.2,9,9,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,7.38,0.2,9,9,S. Aigner,
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,3.39,0.2,9,9,M. Stendera,
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,3.39,0.2,9,9,M. Stendera,
16520,RW,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,1.21,0.02,12,12,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,PO ZEMLJI,0,0,1.21,0.02,12,12,S. Aigner,
1790,RES,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,7.88,0.16,8,8,M. Russ,
44079,LDM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,15.35,0.11,11,8,S. Reinartz,
44079,LDM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,15.35,0.11,11,8,S. Reinartz,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,18.91,1.2,12,12,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,18.91,1.2,12,12,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,18.91,1.2,12,12,H. Seferovic,
1790,RES,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,17.79,0.16,12,8,M. Russ,
1790,RES,UDARAC,UDARAC U OKVIR,IZ VOLEJA,0,0,17.79,0.16,12,8,M. Russ,
67519,RES,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,7.94,0.19,12,12,V. Kadlec,
