,gameID,actionID,away,home,totalActions,awayTeam,homeTeam
125,6307,218,45.0,29.0,74.0,Hannover 96,Borussia Mgladbach
126,6307,220,0.0,1.0,1.0,Hannover 96,Borussia Mgladbach
127,6307,232,31.0,14.0,45.0,Hannover 96,Borussia Mgladbach
128,6307,247,345.0,588.0,933.0,Hannover 96,Borussia Mgladbach
129,6307,248,131.0,148.0,279.0,Hannover 96,Borussia Mgladbach
130,6307,260,4.0,12.0,16.0,Hannover 96,Borussia Mgladbach
131,6307,261,12.0,12.0,24.0,Hannover 96,Borussia Mgladbach
132,6307,262,2.0,5.0,7.0,Hannover 96,Borussia Mgladbach
133,6307,274,6.0,6.0,12.0,Hannover 96,Borussia Mgladbach
134,6307,275,4.0,3.0,7.0,Hannover 96,Borussia Mgladbach
135,6307,276,1.0,0.0,1.0,Hannover 96,Borussia Mgladbach
136,6307,320,5.0,2.0,7.0,Hannover 96,Borussia Mgladbach
137,6307,342,0.0,2.0,2.0,Hannover 96,Borussia Mgladbach
138,6307,343,0.0,3.0,3.0,Hannover 96,Borussia Mgladbach
139,6307,352,1.0,2.0,3.0,Hannover 96,Borussia Mgladbach
140,6307,353,2.0,1.0,3.0,Hannover 96,Borussia Mgladbach
141,6307,367,0.0,1.0,1.0,Hannover 96,Borussia Mgladbach
142,6307,371,31.0,26.0,57.0,Hannover 96,Borussia Mgladbach
143,6307,375,5.0,2.0,7.0,Hannover 96,Borussia Mgladbach
144,6308,1,3.0,1.0,4.0,Bayer 04 Leverkusen,Eintracht Frankfurt
145,6308,2,13.0,5.0,18.0,Bayer 04 Leverkusen,Eintracht Frankfurt
146,6308,3,2.0,1.0,3.0,Bayer 04 Leverkusen,Eintracht Frankfurt
147,6308,4,5.0,8.0,13.0,Bayer 04 Leverkusen,Eintracht Frankfurt
148,6308,6,8.0,10.0,18.0,Bayer 04 Leverkusen,Eintracht Frankfurt
149,6308,7,23.0,31.0,54.0,Bayer 04 Leverkusen,Eintracht Frankfurt
150,6308,10,1.0,2.0,3.0,Bayer 04 Leverkusen,Eintracht Frankfurt
151,6308,11,6.0,10.0,16.0,Bayer 04 Leverkusen,Eintracht Frankfurt
152,6308,12,8.0,4.0,12.0,Bayer 04 Leverkusen,Eintracht Frankfurt
153,6308,13,3.0,8.0,11.0,Bayer 04 Leverkusen,Eintracht Frankfurt
154,6308,15,202.0,175.0,377.0,Bayer 04 Leverkusen,Eintracht Frankfurt
155,6308,17,19.0,11.0,30.0,Bayer 04 Leverkusen,Eintracht Frankfurt
156,6308,18,21.0,23.0,44.0,Bayer 04 Leverkusen,Eintracht Frankfurt
157,6308,19,34.0,28.0,62.0,Bayer 04 Leverkusen,Eintracht Frankfurt
158,6308,21,0.0,1.0,1.0,Bayer 04 Leverkusen,Eintracht Frankfurt
159,6308,22,15.0,19.0,34.0,Bayer 04 Leverkusen,Eintracht Frankfurt
160,6308,23,6.0,5.0,11.0,Bayer 04 Leverkusen,Eintracht Frankfurt
161,6308,28,0.0,1.0,1.0,Bayer 04 Leverkusen,Eintracht Frankfurt
162,6308,30,44.0,24.0,68.0,Bayer 04 Leverkusen,Eintracht Frankfurt
163,6308,31,10.0,1.0,11.0,Bayer 04 Leverkusen,Eintracht Frankfurt
164,6308,32,2.0,3.0,5.0,Bayer 04 Leverkusen,Eintracht Frankfurt
165,6308,33,3.0,3.0,6.0,Bayer 04 Leverkusen,Eintracht Frankfurt
166,6308,63,0.0,1.0,1.0,Bayer 04 Leverkusen,Eintracht Frankfurt
167,6308,75,6.0,7.0,13.0,Bayer 04 Leverkusen,Eintracht Frankfurt
168,6308,79,4.0,0.0,4.0,Bayer 04 Leverkusen,Eintracht Frankfurt
169,6308,80,3.0,6.0,9.0,Bayer 04 Leverkusen,Eintracht Frankfurt
170,6308,114,1.0,0.0,1.0,Bayer 04 Leverkusen,Eintracht Frankfurt
171,6308,115,3.0,0.0,3.0,Bayer 04 Leverkusen,Eintracht Frankfurt
172,6308,116,2.0,0.0,2.0,Bayer 04 Leverkusen,Eintracht Frankfurt
173,6308,117,5.0,0.0,5.0,Bayer 04 Leverkusen,Eintracht Frankfurt
174,6308,118,2.0,0.0,2.0,Bayer 04 Leverkusen,Eintracht Frankfurt
175,6308,156,3.0,1.0,4.0,Bayer 04 Leverkusen,Eintracht Frankfurt
176,6308,211,101.0,92.0,193.0,Bayer 04 Leverkusen,Eintracht Frankfurt
177,6308,212,3.0,3.0,6.0,Bayer 04 Leverkusen,Eintracht Frankfurt
178,6308,213,18.0,8.0,26.0,Bayer 04 Leverkusen,Eintracht Frankfurt
179,6308,214,0.0,1.0,1.0,Bayer 04 Leverkusen,Eintracht Frankfurt
180,6308,216,1.0,0.0,1.0,Bayer 04 Leverkusen,Eintracht Frankfurt
181,6308,218,43.0,51.0,94.0,Bayer 04 Leverkusen,Eintracht Frankfurt
182,6308,232,22.0,24.0,46.0,Bayer 04 Leverkusen,Eintracht Frankfurt
183,6308,247,421.0,238.0,659.0,Bayer 04 Leverkusen,Eintracht Frankfurt
184,6308,248,135.0,138.0,273.0,Bayer 04 Leverkusen,Eintracht Frankfurt
185,6308,260,8.0,3.0,11.0,Bayer 04 Leverkusen,Eintracht Frankfurt
186,6308,261,10.0,11.0,21.0,Bayer 04 Leverkusen,Eintracht Frankfurt
187,6308,262,3.0,4.0,7.0,Bayer 04 Leverkusen,Eintracht Frankfurt
188,6308,274,6.0,0.0,6.0,Bayer 04 Leverkusen,Eintracht Frankfurt
189,6308,275,12.0,7.0,19.0,Bayer 04 Leverkusen,Eintracht Frankfurt
190,6308,320,1.0,5.0,6.0,Bayer 04 Leverkusen,Eintracht Frankfurt
191,6308,342,3.0,1.0,4.0,Bayer 04 Leverkusen,Eintracht Frankfurt
192,6308,343,5.0,1.0,6.0,Bayer 04 Leverkusen,Eintracht Frankfurt
193,6308,352,3.0,1.0,4.0,Bayer 04 Leverkusen,Eintracht Frankfurt
194,6308,353,3.0,1.0,4.0,Bayer 04 Leverkusen,Eintracht Frankfurt
195,6308,367,2.0,0.0,2.0,Bayer 04 Leverkusen,Eintracht Frankfurt
196,6308,371,28.0,27.0,55.0,Bayer 04 Leverkusen,Eintracht Frankfurt
197,6308,375,5.0,5.0,10.0,Bayer 04 Leverkusen,Eintracht Frankfurt
198,6347,1,2.0,4.0,6.0,Sevilla CF,Borussia Mgladbach
199,6347,2,10.0,5.0,15.0,Sevilla CF,Borussia Mgladbach
200,6347,3,3.0,3.0,6.0,Sevilla CF,Borussia Mgladbach
201,6347,4,15.0,4.0,19.0,Sevilla CF,Borussia Mgladbach
202,6347,6,11.0,5.0,16.0,Sevilla CF,Borussia Mgladbach
203,6347,7,22.0,20.0,42.0,Sevilla CF,Borussia Mgladbach
204,6347,10,1.0,2.0,3.0,Sevilla CF,Borussia Mgladbach
205,6347,11,6.0,10.0,16.0,Sevilla CF,Borussia Mgladbach
206,6347,12,2.0,2.0,4.0,Sevilla CF,Borussia Mgladbach
207,6347,13,6.0,8.0,14.0,Sevilla CF,Borussia Mgladbach
208,6347,15,99.0,79.0,178.0,Sevilla CF,Borussia Mgladbach
209,6347,17,11.0,19.0,30.0,Sevilla CF,Borussia Mgladbach
210,6347,18,24.0,31.0,55.0,Sevilla CF,Borussia Mgladbach
211,6347,19,46.0,28.0,74.0,Sevilla CF,Borussia Mgladbach
212,6347,20,1.0,0.0,1.0,Sevilla CF,Borussia Mgladbach
213,6347,22,9.0,3.0,12.0,Sevilla CF,Borussia Mgladbach
214,6347,23,5.0,2.0,7.0,Sevilla CF,Borussia Mgladbach
215,6347,30,62.0,88.0,150.0,Sevilla CF,Borussia Mgladbach
216,6347,31,9.0,13.0,22.0,Sevilla CF,Borussia Mgladbach
217,6347,32,1.0,5.0,6.0,Sevilla CF,Borussia Mgladbach
218,6347,33,1.0,1.0,2.0,Sevilla CF,Borussia Mgladbach
219,6347,52,1.0,0.0,1.0,Sevilla CF,Borussia Mgladbach
220,6347,62,1.0,0.0,1.0,Sevilla CF,Borussia Mgladbach
221,6347,63,1.0,0.0,1.0,Sevilla CF,Borussia Mgladbach
222,6347,64,1.0,1.0,2.0,Sevilla CF,Borussia Mgladbach
223,6347,65,2.0,4.0,6.0,Sevilla CF,Borussia Mgladbach
224,6347,75,4.0,2.0,6.0,Sevilla CF,Borussia Mgladbach
225,6347,79,1.0,1.0,2.0,Sevilla CF,Borussia Mgladbach
226,6347,80,2.0,2.0,4.0,Sevilla CF,Borussia Mgladbach
227,6347,111,1.0,0.0,1.0,Sevilla CF,Borussia Mgladbach
228,6347,114,1.0,1.0,2.0,Sevilla CF,Borussia Mgladbach
229,6347,115,4.0,7.0,11.0,Sevilla CF,Borussia Mgladbach
230,6347,116,0.0,1.0,1.0,Sevilla CF,Borussia Mgladbach
231,6347,117,2.0,2.0,4.0,Sevilla CF,Borussia Mgladbach
232,6347,118,2.0,5.0,7.0,Sevilla CF,Borussia Mgladbach
233,6347,156,2.0,4.0,6.0,Sevilla CF,Borussia Mgladbach
234,6347,211,77.0,75.0,152.0,Sevilla CF,Borussia Mgladbach
235,6347,212,3.0,3.0,6.0,Sevilla CF,Borussia Mgladbach
236,6347,213,20.0,11.0,31.0,Sevilla CF,Borussia Mgladbach
237,6347,218,23.0,28.0,51.0,Sevilla CF,Borussia Mgladbach
238,6347,220,3.0,3.0,6.0,Sevilla CF,Borussia Mgladbach
239,6347,232,9.0,28.0,37.0,Sevilla CF,Borussia Mgladbach
240,6347,247,449.0,392.0,841.0,Sevilla CF,Borussia Mgladbach
241,6347,248,139.0,114.0,253.0,Sevilla CF,Borussia Mgladbach
242,6347,260,8.0,6.0,14.0,Sevilla CF,Borussia Mgladbach
243,6347,261,5.0,1.0,6.0,Sevilla CF,Borussia Mgladbach
244,6347,262,6.0,9.0,15.0,Sevilla CF,Borussia Mgladbach
245,6347,274,6.0,8.0,14.0,Sevilla CF,Borussia Mgladbach
246,6347,275,18.0,5.0,23.0,Sevilla CF,Borussia Mgladbach
247,6347,276,0.0,1.0,1.0,Sevilla CF,Borussia Mgladbach
248,6347,320,10.0,3.0,13.0,Sevilla CF,Borussia Mgladbach
249,6347,342,1.0,4.0,5.0,Sevilla CF,Borussia Mgladbach
250,6347,343,5.0,2.0,7.0,Sevilla CF,Borussia Mgladbach
251,6347,352,2.0,4.0,6.0,Sevilla CF,Borussia Mgladbach
252,6347,353,2.0,4.0,6.0,Sevilla CF,Borussia Mgladbach
253,6347,367,0.0,3.0,3.0,Sevilla CF,Borussia Mgladbach
254,6347,371,30.0,27.0,57.0,Sevilla CF,Borussia Mgladbach
255,6347,375,2.0,11.0,13.0,Sevilla CF,Borussia Mgladbach
256,6364,1,3.0,3.0,6.0,Borussia Mgladbach,TSG 1899 Hoffenheim
257,6364,2,8.0,9.0,17.0,Borussia Mgladbach,TSG 1899 Hoffenheim
258,6364,3,16.0,19.0,35.0,Borussia Mgladbach,TSG 1899 Hoffenheim
259,6364,4,8.0,1.0,9.0,Borussia Mgladbach,TSG 1899 Hoffenheim
