ID,actionIDNaziv,actionOptionIDN,playerID,actionPosX1,actionPosY1,actionPosX2,actionPosY2,domaci,gosti,start_sector,name
6266527,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,16491,232,119.32,185,124.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266538,TOCNO DODAVANJE,0,16491,52,51.32,223,206.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266540,IZVODENJE KORNERA,KOMBINACIJA,16491,52,51.32,223,206.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266542,TOCNO DODAVANJE,0,11500,217,195.32,196,117.32,Borussia Mgladbach,FC Ingolstadt 04,1,Raffael
6266546,TOCNO DODAVANJE,0,16491,191,112.32,106,539.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266554,CENTARSUT,DOBAR,16491,200,136.32,103,543.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266670,TOCNO DODAVANJE,0,16491,237,42.32,294,147.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266671,NIJE IZGUBLJENA,TOCNO DODAVANJE,16491,237,42.32,294,147.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266681,TOCNO DODAVANJE,0,39479,333,203.32,434,498.32,Borussia Mgladbach,FC Ingolstadt 04,1,L. Stindl
6266709,NETOCNO DODAVANJE,0,16491,179,162.32,153,386.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266713,CENTARSUT,DOBAR,16491,177,163.32,153,393.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6267796,NETOCNO DODAVANJE,0,115078,267,432.32,169,421.32,Borussia Mgladbach,FC Ingolstadt 04,5,J. Drmic
6267799,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,115078,267,432.32,169,421.32,Borussia Mgladbach,FC Ingolstadt 04,5,J. Drmic
6268797,TOCNO DODAVANJE,0,115078,307,292.32,346,312.32,Borussia Mgladbach,FC Ingolstadt 04,5,J. Drmic
6268803,NETOCNO DODAVANJE,0,39479,339,378.32,332,368.32,Borussia Mgladbach,FC Ingolstadt 04,5,L. Stindl
6268804,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,39479,339,378.32,332,368.32,Borussia Mgladbach,FC Ingolstadt 04,5,L. Stindl
6269024,NETOCNO DODAVANJE,0,115078,325,322.32,335,342.32,Borussia Mgladbach,FC Ingolstadt 04,5,J. Drmic
6269057,UDARAC U OKVIR,0,156709,172,392.32,79,411.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269058,UDARAC,PO ZRAKU,156709,172,392.32,79,411.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269059,UDARAC,DESNA NOGA,156709,172,392.32,79,411.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269060,PRILIKA ZA GOL,IZ CENTARSUTA,156709,172,392.32,79,411.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269067,TOCNO DODAVANJE,0,156709,60,51.32,81,70.32,Borussia Mgladbach,FC Ingolstadt 04,1,T. Hazard
6269068,IZVODENJE KORNERA,KOMBINACIJA,156709,60,51.32,81,70.32,Borussia Mgladbach,FC Ingolstadt 04,1,T. Hazard
6269069,TOCNO DODAVANJE,0,39479,130,96.32,192,102.32,Borussia Mgladbach,FC Ingolstadt 04,1,L. Stindl
6269070,TOCNO DODAVANJE,0,156709,222,102.32,407,271.32,Borussia Mgladbach,FC Ingolstadt 04,1,T. Hazard
6269096,UDARAC IZVAN OKVIRA,0,156709,104,350.32,66,360.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269097,UDARAC,DESNA NOGA,156709,104,350.32,66,360.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269098,UDARAC,LOS,156709,104,350.32,66,360.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269099,PRILIKA ZA GOL,IZ CENTARSUTA,156709,104,350.32,66,360.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6304979,TOCNO DODAVANJE,0,65256,219,186.32,310,465.32,Borussia Mgladbach,Hannover 96,1,T. Jantschke
6305053,TOCNO DODAVANJE,0,206309,252,99.32,380,302.32,Borussia Mgladbach,Hannover 96,1,A. Christensen
6305055,ODUZETE LOPTE,U DRIBLINGU,206309,252,99.32,380,302.32,Borussia Mgladbach,Hannover 96,1,A. Christensen
6306374,TOCNO DODAVANJE,0,11341,267,371.32,284,162.32,Borussia Mgladbach,Hannover 96,5,Y. Sommer
6306650,TOCNO DODAVANJE,0,205485,183,331.32,235,393.32,Borussia Mgladbach,Hannover 96,5,M. Dahoud
6306656,NIJE IZGUBLJENA,TOCNO DODAVANJE,205485,183,331.32,235,393.32,Borussia Mgladbach,Hannover 96,5,M. Dahoud
6306661,OBRANA OD PROTIVNIKA,OTKLONJENA OPASNOST,205485,183,331.32,235,393.32,Borussia Mgladbach,Hannover 96,5,M. Dahoud
6306666,NETOCNO DODAVANJE,0,16087,231,394.32,486,252.32,Borussia Mgladbach,Hannover 96,5,H. Nordtveit
6306667,SKOK GLAVOM,NETOCNO DODAVANJE,16087,231,394.32,486,252.32,Borussia Mgladbach,Hannover 96,5,H. Nordtveit
6306668,NIJE IZGUBLJENA,NETOCNO DODAVANJE,16087,231,394.32,486,252.32,Borussia Mgladbach,Hannover 96,5,H. Nordtveit
6307557,TOCNO DODAVANJE,0,65256,189,171.32,385,225.32,Borussia Mgladbach,Hannover 96,1,T. Jantschke
6308128,TOCNO DODAVANJE,0,11341,142,244.32,258,591.32,Borussia Mgladbach,Hannover 96,5,Y. Sommer
6308421,TOCNO DODAVANJE,0,11341,166,422.32,337,645.32,Borussia Mgladbach,Hannover 96,5,Y. Sommer
6308627,TOCNO DODAVANJE,0,4610,261,219.32,357,259.32,Borussia Mgladbach,Hannover 96,1,O. Wendt
6308871,TOCNO DODAVANJE,0,11341,221,336.32,321,557.32,Borussia Mgladbach,Hannover 96,5,Y. Sommer
6309129,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,IZGUBLJEN U ZADNJOJ LINIJI,126631,257,384.32,268,415.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6309140,NETOCNO DODAVANJE,0,206309,252,428.32,378,647.32,Borussia Mgladbach,Hannover 96,5,A. Christensen
6309141,NIJE IZGUBLJENA,NETOCNO DODAVANJE,206309,252,428.32,378,647.32,Borussia Mgladbach,Hannover 96,5,A. Christensen
6309143,OBRANA OD PROTIVNIKA,BLOK UDARAC,206309,252,428.32,378,647.32,Borussia Mgladbach,Hannover 96,5,A. Christensen
6310867,NETOCNO DODAVANJE,0,16491,105,253.32,112,293.32,Borussia Mgladbach,Hannover 96,5,I. Traore
6310869,POKUSAJI ASISTENCIJE,POVRATNA,16491,105,253.32,112,293.32,Borussia Mgladbach,Hannover 96,5,I. Traore
6310904,TOCNO DODAVANJE,0,16491,59,53.32,99,68.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6310908,IZVODENJE KORNERA,KOMBINACIJA,16491,59,53.32,99,68.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6310916,TOCNO DODAVANJE,0,16894,109,74.32,277,76.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6310926,TOCNO DODAVANJE,0,11500,254,230.32,316,275.32,Borussia Mgladbach,Hannover 96,5,Raffael
6310928,OSTALA DODAVANJA,DUPLI PAS,11500,254,230.32,316,275.32,Borussia Mgladbach,Hannover 96,5,Raffael
6310963,NETOCNO DODAVANJE,0,16491,318,279.32,253,229.32,Borussia Mgladbach,Hannover 96,5,I. Traore
6311235,NETOCNO DODAVANJE,0,16491,338,174.32,217,257.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6311236,NIJE IZGUBLJENA,NETOCNO DODAVANJE,16491,338,174.32,217,257.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6311241,ZALEDE,MINIMALNO ZALEDE,11500,212,265.32,217,257.32,Borussia Mgladbach,Hannover 96,5,Raffael
6312203,NETOCNO DODAVANJE,0,39479,125,247.32,99,347.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6312204,LOPTA PO ZRAKU,NETOCNO DODAVANJE,39479,125,247.32,99,347.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6312380,NETOCNO DODAVANJE,0,16491,59,49.32,93,367.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6312381,IZVODENJE KORNERA,CENTARSUT,16491,59,49.32,93,367.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6312420,TOCNO DODAVANJE,0,11500,247,112.32,314,94.32,Borussia Mgladbach,Hannover 96,1,Raffael
6312423,ODUZETE LOPTE,U DRIBLINGU,11500,247,112.32,314,94.32,Borussia Mgladbach,Hannover 96,1,Raffael
6312431,TOCNO DODAVANJE,0,16491,350,124.32,420,430.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6312620,TOCNO DODAVANJE,0,126631,264,120.32,362,144.32,Borussia Mgladbach,Hannover 96,1,J. Korb
6313952,NETOCNO DODAVANJE,0,16491,251,343.32,176,384.32,Borussia Mgladbach,Hannover 96,5,I. Traore
6313958,UDARAC,UDARAC U BLOK,16491,251,343.32,176,384.32,Borussia Mgladbach,Hannover 96,5,I. Traore
6313961,UDARAC,LIJEVA NOGA,16491,251,343.32,176,384.32,Borussia Mgladbach,Hannover 96,5,I. Traore
6313966,UDARAC,PO ZEMLJI,16491,251,343.32,176,384.32,Borussia Mgladbach,Hannover 96,5,I. Traore
6313968,DRIBLING,U PROSTORU,16491,251,343.32,176,384.32,Borussia Mgladbach,Hannover 96,5,I. Traore
6314003,NETOCNO DODAVANJE,0,16491,60,54.32,127,437.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6314005,IZVODENJE KORNERA,CENTARSUT,16491,60,54.32,127,437.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6314296,DUEL IGRACA,DOBIVEN DUEL - U ZRAKU,39479,132,431.32,0,0.0,Borussia Mgladbach,Hannover 96,5,L. Stindl
6314303,UDARAC IZVAN OKVIRA,0,39479,129,434.32,64,473.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6314305,UDARAC,PO ZRAKU,39479,129,434.32,64,473.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6314306,UDARAC,GLAVOM,39479,129,434.32,64,473.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6314310,PRILIKA ZA GOL,IZ KORNERA,39479,129,434.32,64,473.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6314770,NETOCNO DODAVANJE,0,16894,98,171.32,122,245.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6314774,POKUSAJI ASISTENCIJE,POVRATNA,16894,98,171.32,122,245.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6314776,ATRAKTIVNO,KVALITETNO UTRCAVANJE U PROSTOR,16894,98,171.32,122,245.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6314858,TOCNO DODAVANJE,0,126631,294,235.32,124,174.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6314867,TOCNO DODAVANJE,0,39479,126,175.32,158,288.32,Borussia Mgladbach,Hannover 96,1,L. Stindl
6314877,OSTALA DODAVANJA,DUPLI PAS,39479,126,175.32,158,288.32,Borussia Mgladbach,Hannover 96,1,L. Stindl
6314883,POKUSAJI ASISTENCIJE,SURADNJA 2 IGRACA,39479,126,175.32,158,288.32,Borussia Mgladbach,Hannover 96,1,L. Stindl
6314914,NETOCNO DODAVANJE,0,126631,161,289.32,85,345.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6314915,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,126631,161,289.32,85,345.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6314925,PRILIKA ZA GOL,POVRATNA LOPTA,126631,161,289.32,85,345.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6315282,TOCNO DODAVANJE,0,16894,290,173.32,374,260.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6315292,TOCNO DODAVANJE,0,39479,296,317.32,259,219.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6315324,UDARAC IZVAN OKVIRA,0,16087,254,214.32,77,369.32,Borussia Mgladbach,Hannover 96,1,H. Nordtveit
6315325,UDARAC,PO ZRAKU,16087,254,214.32,77,369.32,Borussia Mgladbach,Hannover 96,1,H. Nordtveit
6315327,UDARAC,DESNA NOGA,16087,254,214.32,77,369.32,Borussia Mgladbach,Hannover 96,1,H. Nordtveit
6315329,UDARAC,ZONA,16087,254,214.32,77,369.32,Borussia Mgladbach,Hannover 96,1,H. Nordtveit
6315333,POKUSAJI ASISTENCIJE,SURADNJA 2 IGRACA,39479,296,317.32,259,219.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6315557,UDARAC IZVAN OKVIRA,0,11500,307,316.32,101,355.32,Borussia Mgladbach,Hannover 96,5,Raffael
6315558,UDARAC,PO ZEMLJI,11500,307,316.32,101,355.32,Borussia Mgladbach,Hannover 96,5,Raffael
6315559,UDARAC,LIJEVA NOGA,11500,307,316.32,101,355.32,Borussia Mgladbach,Hannover 96,5,Raffael
6315561,UDARAC,ZONA,11500,307,316.32,101,355.32,Borussia Mgladbach,Hannover 96,5,Raffael
6315899,TOCNO DODAVANJE,0,16894,318,213.32,391,98.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6315911,NETOCNO DODAVANJE,0,39479,199,282.32,112,309.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6315912,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,39479,199,282.32,112,309.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6315924,KLIZECI START,KLIZECI START PREKRSAJ,39479,108,309.32,238,479.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6316111,NETOCNO DODAVANJE,0,205485,339,300.32,267,296.32,Borussia Mgladbach,Hannover 96,5,M. Dahoud
6316112,DRIBLING,U PROSTORU,205485,339,300.32,267,296.32,Borussia Mgladbach,Hannover 96,5,M. Dahoud
6316214,TOCNO DODAVANJE,0,16894,115,117.32,327,149.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6316217,TOCNO DODAVANJE,0,126631,237,163.32,222,113.32,Borussia Mgladbach,Hannover 96,1,J. Korb
6316221,TOCNO DODAVANJE,0,16894,249,173.32,351,295.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6316401,NETOCNO DODAVANJE,0,206309,242,227.32,197,281.32,Borussia Mgladbach,Hannover 96,5,A. Christensen
6316402,LOPTA PO ZRAKU,NETOCNO DODAVANJE,206309,242,227.32,197,281.32,Borussia Mgladbach,Hannover 96,5,A. Christensen
6316410,TOCNO DODAVANJE,0,206309,150,234.32,131,384.32,Borussia Mgladbach,Hannover 96,5,A. Christensen
6316416,GOL,NOGOM,11500,130,387.32,50,415.32,Borussia Mgladbach,Hannover 96,5,Raffael
6316420,UDARAC U OKVIR,0,11500,130,387.32,50,415.32,Borussia Mgladbach,Hannover 96,5,Raffael
6316424,UDARAC,PO ZRAKU,11500,130,387.32,50,415.32,Borussia Mgladbach,Hannover 96,5,Raffael
6316426,UDARAC,DESNA NOGA,11500,130,387.32,50,415.32,Borussia Mgladbach,Hannover 96,5,Raffael
6316427,UDARAC,ODLICAN,11500,130,387.32,50,415.32,Borussia Mgladbach,Hannover 96,5,Raffael
6316429,ASISTENCIJA PRIJE GOLA,SA BOKA PO ZEMLJI,206309,150,234.32,131,384.32,Borussia Mgladbach,Hannover 96,5,A. Christensen
6316599,TOCNO DODAVANJE,0,16491,61,56.32,232,284.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6316601,IZVODENJE KORNERA,POVRATNA LOPTA,16491,61,56.32,232,284.32,Borussia Mgladbach,Hannover 96,1,I. Traore
6316607,NETOCNO DODAVANJE,0,126631,220,279.32,195,244.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6316610,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,126631,220,279.32,195,244.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6316622,NETOCNO DODAVANJE,0,126631,204,246.32,226,193.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6316625,NIJE IZGUBLJENA,NETOCNO DODAVANJE,126631,204,246.32,226,193.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6316750,TOCNO DODAVANJE,0,16894,262,84.32,380,210.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6316811,TOCNO DODAVANJE,0,115078,279,81.32,344,198.32,Borussia Mgladbach,Hannover 96,1,J. Drmic
6316814,TOCNO DODAVANJE,0,11500,330,201.32,339,198.32,Borussia Mgladbach,Hannover 96,1,Raffael
6316954,UDARAC U OKVIR,0,16894,162,243.32,85,359.32,Borussia Mgladbach,Hannover 96,5,F. Johnson
6316955,UDARAC,PO ZRAKU,16894,162,243.32,85,359.32,Borussia Mgladbach,Hannover 96,5,F. Johnson
6316957,UDARAC,DESNA NOGA,16894,162,243.32,85,359.32,Borussia Mgladbach,Hannover 96,5,F. Johnson
6316961,PRILIKA ZA GOL,PODVALJENA LOPTA,16894,162,243.32,85,359.32,Borussia Mgladbach,Hannover 96,5,F. Johnson
6316963,ATRAKTIVNO,KVALITETNO UTRCAVANJE U PROSTOR,16894,162,243.32,85,359.32,Borussia Mgladbach,Hannover 96,5,F. Johnson
6317018,TOCNO DODAVANJE,0,11500,62,55.32,134,85.32,Borussia Mgladbach,Hannover 96,1,Raffael
6317019,IZVODENJE KORNERA,KOMBINACIJA,11500,62,55.32,134,85.32,Borussia Mgladbach,Hannover 96,1,Raffael
6317022,TOCNO DODAVANJE,0,16894,137,89.32,148,76.32,Borussia Mgladbach,Hannover 96,1,F. Johnson
6317026,TOCNO DODAVANJE,0,11500,162,63.32,131,188.32,Borussia Mgladbach,Hannover 96,1,Raffael
6317027,LOPTA PO ZRAKU,TOCNO DODAVANJE,11500,162,63.32,131,188.32,Borussia Mgladbach,Hannover 96,1,Raffael
6317031,TOCNO DODAVANJE,0,126631,127,191.32,183,198.32,Borussia Mgladbach,Hannover 96,1,J. Korb
6317034,TOCNO DODAVANJE,0,16894,183,225.32,239,296.32,Borussia Mgladbach,Hannover 96,5,F. Johnson
6317035,POKUSAJI ASISTENCIJE,POVRATNA,16894,183,225.32,239,296.32,Borussia Mgladbach,Hannover 96,5,F. Johnson
6317043,UDARAC IZVAN OKVIRA,0,115078,241,302.32,72,391.32,Borussia Mgladbach,Hannover 96,5,J. Drmic
6317044,UDARAC,PO ZRAKU,115078,241,302.32,72,391.32,Borussia Mgladbach,Hannover 96,5,J. Drmic
6317045,UDARAC,DESNA NOGA,115078,241,302.32,72,391.32,Borussia Mgladbach,Hannover 96,5,J. Drmic
6317047,PRILIKA ZA GOL,POVRATNA LOPTA,115078,241,302.32,72,391.32,Borussia Mgladbach,Hannover 96,5,J. Drmic
