ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,playerPositionID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionID,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6258058,6261,286.93,288.45,19,247,72,66692,13,LCB,OSTALA DODAVANJA,TOCNO DODAVANJE,GLAVOM,206309,14,RCB,1,home,330,416,111.32,247.32,,13.55,0,0.0,286.93,288.45,FirstHalf,right,1.52,1.52,1,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258065,6261,288.45,291.27,247,0,0,206309,14,RCB,TOCNO DODAVANJE,0,0,16087,4,RB,2,home,436,431,285.32,634.32,,29.91,0,0.0,288.45,289.58,FirstHalf,right,2.82,1.13,6,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258174,6261,317.64,319.77,248,0,0,39479,17,LCF,NETOCNO DODAVANJE,0,0,54769,21,RW,3,home,540,530,365.32,344.32,,1.97,0,0.0,317.64,319.11,FirstHalf,right,2.13,1.47,6,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258177,6261,317.64,319.77,371,248,374,39479,17,LCF,IZGUBLJENA LOPTA,NETOCNO DODAVANJE,IZGUBLJENA U DRIBLINGU,54769,21,RW,3,home,540,530,365.32,344.32,,1.97,0,0.0,317.64,319.11,FirstHalf,right,2.13,1.47,6,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258198,6261,323.17,323.91,247,0,0,205485,16,RCM,TOCNO DODAVANJE,0,0,39479,17,LCF,1,home,499,458,379.32,350.32,,4.12,0,0.0,323.17,323.26,FirstHalf,right,0.74,0.09,6,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258199,6261,323.17,323.91,211,247,247,205485,16,RCM,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,39479,17,LCF,1,home,499,458,379.32,350.32,,4.12,0,0.0,323.17,323.26,FirstHalf,right,0.74,0.09,6,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258203,6261,323.91,325.2,247,0,0,39479,17,LCF,TOCNO DODAVANJE,0,0,66692,13,LCB,1,home,457,335,345.32,353.32,,9.82,0,0.0,323.91,324.05,FirstHalf,right,1.29,0.14,6,5,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258209,6261,325.2,327.14,247,0,0,66692,13,LCB,TOCNO DODAVANJE,0,0,11500,18,RCF,1,home,335,579,350.32,340.32,,19.62,0,0.0,325.2,325.26,FirstHalf,right,1.94,0.06,5,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258211,6261,325.2,327.14,15,247,247,66692,13,LCB,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,11500,18,RCF,1,home,335,579,350.32,340.32,,19.62,0,0.0,325.2,325.26,FirstHalf,right,1.94,0.06,5,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6258215,6261,327.14,327.74,247,0,0,11500,18,RCF,TOCNO DODAVANJE,0,0,205485,16,RCM,1,home,575,562,337.32,331.32,,1.16,0,0.0,327.14,327.39,FirstHalf,right,0.6,0.25,6,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
