ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6316536,6308,4849.3,4849.99,15,248,248,16520,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,171186,RW,LB,1,905,932,580.32,580.32,2.16,7,7.0,0.69,0.69
6316537,6308,4849.3,4849.99,211,248,248,16520,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,171186,RW,LB,1,905,932,580.32,580.32,2.16,7,7.0,0.69,0.69
6316553,6308,4851.08,4852.35,247,0,0,40700,TOCNO DODAVANJE,0,0,199745,RCM,LCM,1,801,730,526.32,475.32,7.18,7,7.0,1.27,0.0
6316554,6308,4851.08,4852.35,15,247,247,40700,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,199745,RCM,LCM,1,801,730,526.32,475.32,7.18,7,7.0,1.27,0.0
6316557,6308,4852.35,4854.07,247,0,0,199745,TOCNO DODAVANJE,0,0,57720,LCM,ST,1,725,739,477.32,673.32,16.83,7,7.0,1.72,0.0
6316558,6308,4852.35,4854.07,15,247,247,199745,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,57720,LCM,ST,1,725,739,477.32,673.32,16.83,7,7.0,1.72,0.0
6316563,6308,4854.07,4857.0,247,0,0,57720,TOCNO DODAVANJE,0,0,39442,ST,RCB,3,716,540,674.32,557.32,17.33,7,6.0,2.93,1.59
6316564,6308,4857.0,4859.81,247,0,0,39442,TOCNO DODAVANJE,0,0,21022,RCB,LCB,2,530,548,535.32,307.32,19.59,6,2.0,2.81,0.55
6316567,6308,4859.81,4862.76,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,3,553,785,172.32,90.32,19.92,2,3.0,2.95,1.4
6316572,6308,4862.76,4866.87,247,0,0,196633,TOCNO DODAVANJE,0,0,21022,LB,LCB,4,725,594,158.32,213.32,11.53,3,2.0,4.11,2.45
