ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6602036,6553,2622.12,2625.43,247,0,0,5335,TOCNO DODAVANJE,0,0,199745,RB,LCM,5,648,677,117.32,186.32,6.35,2,2.0,3.31,2.85
6602040,6553,2625.43,2627.8,247,0,0,199745,TOCNO DODAVANJE,0,0,1770,LCM,LW,2,637,594,198.32,302.32,9.56,2,2.0,2.37,1.91
6602056,6553,2638.94,2641.17,247,0,0,21022,TOCNO DODAVANJE,0,0,8570,LCB,GK,1,1087,1157,392.32,306.32,9.27,8,4.0,2.23,2.23
6602058,6553,2638.94,2641.17,211,247,247,21022,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,8570,LCB,GK,1,1087,1157,392.32,306.32,9.27,8,4.0,2.23,2.23
6602064,6553,2641.17,2644.45,247,0,0,8570,TOCNO DODAVANJE,0,0,5335,GK,RB,3,1145,882,201.32,100.32,22.83,4,3.0,3.28,1.81
6602066,6553,2641.17,2644.45,211,247,247,8570,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,5335,GK,RB,3,1145,882,201.32,100.32,22.83,4,3.0,3.28,1.81
6602069,6553,2644.45,2646.88,247,0,0,5335,TOCNO DODAVANJE,0,0,199745,RB,LCM,2,801,630,89.32,75.32,13.79,3,2.0,2.43,1.62
6602070,6553,2646.88,2650.12,247,0,0,199745,TOCNO DODAVANJE,0,0,5335,LCM,RB,3,649,738,81.32,200.32,12.45,2,3.0,3.24,1.21
6602073,6553,2650.12,2651.51,247,0,0,5335,TOCNO DODAVANJE,0,0,1790,RB,RCM,1,742,740,202.32,374.32,14.74,3,7.0,1.39,0.14
6602102,6553,2681.39,2684.59,247,0,0,1770,TOCNO DODAVANJE,0,0,199745,LW,LCM,2,949,845,535.32,333.32,19.22,7,3.0,3.2,1.96
6602103,6553,2684.59,2688.9,247,0,0,199745,TOCNO DODAVANJE,0,0,77888,LCM,ST,5,732,659,196.32,120.32,8.76,3,2.0,4.31,3.07
6602128,6553,2701.65,2704.84,247,0,0,21022,TOCNO DODAVANJE,0,0,39442,LCB,RCB,1,1175,1280,408.32,145.32,24.07,8,4.0,3.19,0.14
6602130,6553,2701.65,2704.84,17,301,247,21022,OBRANA OD PROTIVNIKA,TOCNO DODAVANJE,OTKLONJENA OPASNOST,39442,LCB,RCB,1,1175,1280,408.32,145.32,24.07,8,4.0,3.19,0.14
6602131,6553,2701.65,2704.84,211,247,247,21022,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,39442,LCB,RCB,1,1175,1280,408.32,145.32,24.07,8,4.0,3.19,0.14
6602136,6553,2704.84,2710.83,15,248,248,39442,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,75357,RCB,LCM,5,1271,800,62.32,67.32,37.85,4,3.0,5.99,3.27
6602151,6553,2712.29,2712.53,15,248,248,16520,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,38434,RW,RCM,1,755,771,165.32,170.32,1.35,3,3.0,0.24,0.15
6602170,6553,2731.86,2733.3,247,0,0,199745,TOCNO DODAVANJE,0,0,39442,LCM,RCB,1,783,909,160.32,327.32,17.53,3,3.0,1.44,0.16
6602171,6553,2731.86,2733.3,261,171,247,199745,IZVODENJE SLOBODNOG UDARCA,TOCNO DODAVANJE,SLOBODAN UDARAC DODAVANJE,39442,LCM,RCB,1,783,909,160.32,327.32,17.53,3,3.0,1.44,0.16
6602174,6553,2733.3,2734.48,247,0,0,39442,TOCNO DODAVANJE,0,0,199745,RCB,LCM,1,908,845,314.32,161.32,14.05,3,3.0,1.18,0.12
6602176,6553,2734.48,2738.43,247,0,0,199745,TOCNO DODAVANJE,0,0,16520,LCM,RW,5,740,568,165.32,152.32,13.86,3,2.0,3.95,3.32
6602178,6553,2738.43,2739.16,247,0,0,16520,TOCNO DODAVANJE,0,0,5335,RW,RB,1,566,577,146.32,88.32,5.04,2,2.0,0.73,0.15
6602182,6553,2739.16,2740.9,247,0,0,5335,TOCNO DODAVANJE,0,0,199745,RB,LCM,2,589,722,86.32,140.32,11.64,2,3.0,1.74,1.02
6602185,6553,2740.9,2745.16,247,0,0,199745,TOCNO DODAVANJE,0,0,1790,LCM,RCM,2,650,617,130.32,267.32,12.03,2,2.0,4.26,3.73
6602189,6553,2745.16,2747.13,247,0,0,1790,TOCNO DODAVANJE,0,0,39442,RCM,RCB,2,620,750,283.32,264.32,10.57,2,3.0,1.97,0.74
6602192,6553,2747.13,2749.76,247,0,0,39442,TOCNO DODAVANJE,0,0,1790,RCB,RCM,4,716,644,287.32,345.32,7.62,3,2.0,2.63,2.35
6602194,6553,2749.76,2752.52,247,0,0,1790,TOCNO DODAVANJE,0,0,8570,RCM,GK,2,693,953,358.32,398.32,21.17,6,7.0,2.76,0.82
6602198,6553,2752.52,2753.8,247,0,0,8570,TOCNO DODAVANJE,0,0,21022,GK,LCB,1,955,924,402.32,490.32,7.94,7,7.0,1.28,0.15
6602200,6553,2753.8,2756.04,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,2,936,864,524.32,743.32,19.64,7,11.0,2.24,1.0
6602205,6553,2756.04,2760.41,247,0,0,196633,TOCNO DODAVANJE,0,0,21022,LB,LCB,3,884,1065,690.32,634.32,15.31,7,8.0,4.37,1.49
6602206,6553,2760.41,2761.71,247,0,0,21022,TOCNO DODAVANJE,0,0,8570,LCB,GK,1,1065,1132,636.32,474.32,14.89,8,8.0,1.3,0.08
6602227,6553,2700.0,2700.3,247,0,0,22870,TOCNO DODAVANJE,0,0,1802,ST,CAM,1,670,679,421.32,438.32,1.62,6,6.0,0.3,0.14
6602228,6553,2700.3,2702.21,247,0,0,1802,TOCNO DODAVANJE,0,0,39442,CAM,RCB,1,682,391,446.32,465.32,23.44,6,6.0,1.91,0.1
6602229,6553,2702.21,2703.91,247,0,0,39442,TOCNO DODAVANJE,0,0,5335,RCB,RB,2,384,404,511.32,699.32,16.19,6,6.0,1.7,1.16
6602231,6553,2703.91,2707.4,247,0,0,5335,TOCNO DODAVANJE,0,0,39442,RB,RCB,2,477,382,737.32,588.32,14.87,10,6.0,3.49,2.11
6602233,6553,2707.4,2712.59,247,0,0,39442,TOCNO DODAVANJE,0,0,21022,RCB,LCB,5,413,395,511.32,273.32,20.45,6,2.0,5.19,3.12
6602235,6553,2712.59,2713.86,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,1,393,510,271.32,106.32,16.98,2,2.0,1.27,0.07
6602247,6553,2728.47,2729.1,247,0,0,196633,TOCNO DODAVANJE,0,0,22870,LB,ST,1,912,912,33.32,139.32,9.08,3,3.0,0.63,0.13
6602248,6553,2728.47,2729.1,211,247,247,196633,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,22870,LB,ST,1,912,912,33.32,139.32,9.08,3,3.0,0.63,0.13
6602249,6553,2729.1,2729.97,247,0,0,22870,TOCNO DODAVANJE,0,0,196633,ST,LB,1,913,957,139.32,61.32,7.56,3,3.0,0.87,0.12
6602256,6553,2728.33,2728.92,247,0,0,1770,TOCNO DODAVANJE,0,0,22870,LW,ST,1,971,957,37.32,138.32,8.72,3,3.0,0.59,0.15
6602257,6553,2728.33,2728.92,211,247,247,1770,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,22870,LW,ST,1,971,957,37.32,138.32,8.72,3,3.0,0.59,0.15
6602258,6553,2728.92,2729.97,247,0,0,22870,TOCNO DODAVANJE,0,0,1770,ST,LW,1,956,995,139.32,69.32,6.76,3,3.0,1.05,1.05
6602259,6553,2729.97,2734.51,247,0,0,1770,TOCNO DODAVANJE,0,0,16520,LW,RW,2,1157,1172,75.32,465.32,33.45,4,8.0,4.54,2.62
6602260,6553,2729.97,2734.42,4,60,247,1770,CENTARSUT,TOCNO DODAVANJE,DOBAR,16520,LW,RW,2,1159,1172,70.32,466.32,33.95,4,8.0,4.45,4.45
6602273,6553,2762.66,2768.96,247,0,0,16520,TOCNO DODAVANJE,0,0,39442,RW,RCB,6,697,584,539.32,625.32,11.69,6,6.0,6.3,4.6
6602276,6553,2768.96,2771.32,247,0,0,39442,TOCNO DODAVANJE,0,0,1790,RCB,RCM,1,585,856,619.32,541.32,22.77,6,7.0,2.36,0.08
6602277,6553,2768.96,2771.32,15,247,247,39442,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,1790,RCB,RCM,1,585,856,619.32,541.32,22.77,6,7.0,2.36,0.08
6602279,6553,2771.32,2774.2,15,248,248,1790,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,2039,RCM,RCB,2,861,887,519.32,389.32,11.33,7,7.0,2.88,1.81
6602312,6553,2813.67,2816.39,247,0,0,196633,TOCNO DODAVANJE,0,0,1770,LB,LW,2,248,388,150.32,84.32,12.59,1,2.0,2.72,1.5
6602313,6553,2816.39,2818.57,247,0,0,1770,TOCNO DODAVANJE,0,0,196633,LW,LB,2,385,370,90.32,174.32,7.3,2,2.0,2.18,1.52
6602320,6553,2826.79,2829.39,247,0,0,21022,TOCNO DODAVANJE,0,0,5335,LCB,RB,1,373,306,370.32,555.32,16.74,6,5.0,2.6,0.08
6602322,6553,2829.39,2830.37,247,0,0,5335,TOCNO DODAVANJE,0,0,22870,RB,ST,2,306,447,562.32,534.32,11.58,5,6.0,0.98,0.13
6602324,6553,2830.37,2832.08,15,248,248,22870,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,75357,ST,LCM,2,445,532,570.32,584.32,7.09,6,6.0,1.71,1.72
6602340,6553,2855.92,2857.18,247,0,0,5335,TOCNO DODAVANJE,0,0,199745,RB,LCM,1,540,588,709.32,657.32,5.89,10,6.0,1.26,0.16
